onset_time,stim_type,stim_name,trial_length,stim_size,RGB,corrAns
571.5,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
575,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
578.25,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
580.495,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
584.25,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
587.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
590.25,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
593.5,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
597,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
600,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
